name,scenario,total,concurrency,seconds,req_per_sec,failed
cofetch,throughput,20000,100,1.149,17412,0
cofetch-poll,throughput,20000,100,1.096,18240,0
epoll-baseline,throughput,20000,100,0.987,20270,0
cpr-threads,throughput,20000,1,1.975,10127,0
cpp-httplib-threads,throughput,20000,1,1.552,12889,0
cofetch-20loops,throughput,20000,100,0.120,166646,0
cpr-threads,throughput,20000,20,0.164,122122,0
cpp-httplib-threads,throughput,20000,20,0.157,127333,0
cofetch-coro,chain,2000,1,0.190,10547,0
cofetch-cb,chain,2000,1,0.180,11116,0
cofetch-cb-poll,chain,2000,1,0.135,14804,0
epoll-baseline,chain,2000,1,0.128,15566,0
cpr,chain,2000,1,0.196,10209,0
cpp-httplib,chain,2000,1,0.157,12761,0
